id,Metal,charge,molecular_mass,n_atoms,n_electrons,tzvp_lumo_energy,tzvp_homo_energy,tzvp_homo_lumo_gap,homo_lumo_gap_delta,tzvp_electronic_energy,electronic_energy_delta,tzvp_dispersion_energy,dispersion_energy_delta,enthalpy_energy,enthalpy_energy_correction,gibbs_energy,gibbs_energy_correction,zpe_correction,heat_capacity,entropy,tzvp_dipole_moment,dipole_moment_delta,polarisability,lowest_vibrational_frequency,highest_vibrational_frequency,LigandSmiles
ABASAA,Zn,0,381.1004,43,198,-0.09331,-0.22479,0.1314799999999999,0.0773799999999999,-2853.12171101,-1.4546794000002592,-0.0589222748,0.006504394,-2851.310723,0.3563086099998145,-2851.390482,0.2765496100000746,0.3311,89.873,167.868,8.5118,0.2623999999999995,233.68,18.6977,3158.5949,CC(=NCCN1CCOCC1)c1ccccn1.[N-]=[N+]=N.[N-]=[N+]=N
ABASEC,Ni,1,329.14875,47,176,-0.173,-0.35113,0.17813,0.099,-2388.35625075,-1.1998972599999431,-0.0564572545,0.0070073115999999,-2386.736893,0.4194604900003469,-2386.811237,0.3451164900002368,0.395715,89.452,156.471,7.5212,0.8452000000000002,216.22,20.7873,3327.9757,CC(=N[O-])C(C)(C)NCCCNC(C)(C)C(C)=NO
ABASEE,Co,0,418.11368,46,216,-0.10914,-0.21732,0.10818,0.07153,-2620.6084834,-1.4885046199997305,-0.0689831648,0.0073211883999999,-2618.746814,0.3731647800000246,-2618.829835,0.2901437800001076,0.345911,99.71,174.732,10.151,1.1099999999999994,283.74,32.962,3175.198,CC(=NCCN1CCOCC1)c1ccccn1.[N-]=[N+]=N.[N-]=[N+]=N.[N-]=[N+]=N
ABATEC,Ru,0,703.12832,69,352,-0.05048,-0.2327,0.18222,0.0798399999999999,-2445.52678714,-2.7031689300001744,-0.0980935161,0.0097883639999999,-2442.285013,0.5386052099997869,-2442.40066,0.4229582100001607,0.497229,155.322,243.399,3.6068,0.4662999999999999,331.3,14.5336,3383.7149,C1=CCCC=CCC1.CC(C)(C)N.[H][BH](n1nc(C(F)(F)F)cc1C(F)(F)F)n1nc(C(F)(F)F)cc1C(F)(F)F
ABATED,Co,0,456.19757,64,242,-0.01778,-0.15844,0.14066,0.12247,-2578.00844903,-1.5178786100000252,-0.0953111427,0.009376488,-2575.933312,0.5572584199999255,-2576.028143,0.46242742000004,0.523819,126.816,199.588,0.8292,0.4519,358.8,12.7279,3148.1644,CC(=CC(C)=Nc1c(C)cccc1C)Nc1c(C)cccc1C.Cc1ccccc1
ABATIK,Pd,0,699.12642,77,358,-0.05984,-0.18681,0.12697,0.0591099999999999,-2249.88544737,-2.1249416099999507,-0.1184544289,0.0110647575999999,-2247.125127,0.6353787600000942,-2247.241395,0.5191107599998759,0.594784,156.103,244.707,2.9647,-0.0604,596.0,12.9107,3157.407,COc1ccc(C(O)=NN=C2CCCc3c2[nH]c2ccccc32)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
ABATOQ,Pd,0,703.07688,73,358,-0.06823,-0.19366,0.1254299999999999,0.0564599999999999,-2594.90758429,-2.186292520000279,-0.1167449324,0.0106275734,-2592.128232,0.5930597699998543,-2592.242152,0.4791397700000743,0.553822,150.637,239.764,4.6583,0.3098000000000001,584.27,11.9759,3157.3199,OC(=NN=C1CCCc2c1[nH]c1ccccc21)c1ccc(Cl)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
ABATUS,Ru,0,712.00826,57,350,-0.09275,-0.261,0.16825,0.0681,-2570.42896831,-2.795167350000156,-0.0845682395,0.0078355153999999,-2567.236914,0.396886959999847,-2567.35301,0.2807909600001039,0.356267,146.041,244.344,0.7512,-0.0742,312.96,15.1982,3228.9403,C#O.C#O.O=CC1CCC=CCCC1.[H][BH](n1nc(C(F)(F)F)cc1C(F)(F)F)n1nc(C(F)(F)F)cc1C(F)(F)F
ABATUT,Co,0,513.25542,75,274,-0.06701,-0.21183,0.14482,0.1103,-2751.16452447,-1.7128476200000478,-0.107746729,0.0111690084,-2748.786931,0.6647458499996901,-2748.888854,0.562822849999975,0.62918,138.516,214.516,1.7646,0.5415999999999999,417.89,16.5894,3139.6892,CC(=CC(C)=Nc1c(C)cccc1C)Nc1c(C)cccc1C.NC12CC3CC(CC(C3)C1)C2
ABAVAA,Hg,0,570.11998,54,278,-0.03881,-0.21667,0.17786,0.0635,-2142.70017772,-1.4175449899998966,-0.0840847033,0.0066619305,-2140.814094,0.4685387300000911,-2140.91053,0.3721027299998241,0.435213,116.384,202.965,5.3161,0.3089999999999993,304.82,26.2764,3097.5533,CC1=C(C)C(C)([SiH](Cl)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C.Cl
ABAXIK,Fe,1,409.99872,39,202,-0.18511,-0.35793,0.17282,0.09557,-2307.07246676,-1.0228883900003891,-0.0590717652,0.0058935133,-2305.706991,0.3425873699998192,-2305.772247,0.2773313699999562,0.322523,76.093,137.344,11.0726,-0.0042000000000008,196.35,85.3079,3117.4008,C#O.C#O.CN1CCN(C)CCN(C)CC1.I
ABAXOS,Os,0,618.30353,79,314,-0.02377,-0.17581,0.15204,0.05457,-1826.65332832,-1.5298275799998464,-0.1170136506,0.0105912427999999,-1824.400889,0.7226117400000476,-1824.510777,0.6127237400000922,0.681895,153.91,231.279,5.9971,0.4904999999999999,409.41,13.5684,3471.9406,CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Nc1ccccc1N
ABAXUX,Pd,0,544.03709,53,272,-0.08393,-0.24358,0.15965,0.06834,-3830.95875556,-1.6464057700000012,-0.0849042384,0.0076959342,-3828.872025,0.4403247899999769,-3828.955227,0.3571227900001759,0.412615,106.994,175.114,4.4313,0.2237,331.97,39.9996,3218.4085,Br.Cc1ccccc1C(C)(C)C.c1cnn([BH](n2cccn2)n2cccn2)c1
ABAXUY,Os,1,658.32225,84,334,-0.17623,-0.28927,0.11304,0.05538,-1958.54454652,-1.666015600000037,-0.1282531053,0.0109443204999999,-1956.111938,0.7665929199999937,-1956.231538,0.6469929200000024,0.721521,167.22,251.719,4.5558,0.7427999999999995,437.16,24.7057,3451.313,CC#N.CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Nc1ccccc1N
ABAYUA,Ir,0,797.1645,72,390,-0.06774,-0.20242,0.13468,0.0621699999999999,-2167.46832989,-2.261838699999771,-0.1233926073,0.0104692874,-2164.636996,0.5694951899999978,-2164.748569,0.4579221900003176,0.529837,154.591,234.824,4.5263,0.5966,501.0,13.4294,3193.0555,CC(N=Cc1ccccc1O)c1ccccc1.Fc1ccc(-c2ccccn2)c(F)c1.Fc1ccc(-c2ccccn2)c(F)c1
ABAZIO,Pd,0,618.18115,76,320,-0.04207,-0.21888,0.17681,0.06845,-2080.52812718,-2.0248753099999703,-0.1138983344,0.01094276,-2077.844949,0.6583028700001705,-2077.961782,0.5414698700001281,0.615697,158.165,245.897,8.4924,0.4919999999999991,406.26,13.4852,3165.7533,CN(C)Cc1ccccc1.CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.O=C(O)C(F)(F)F
ABAZOU,Ir,0,661.91892,38,300,-0.06265,-0.20598,0.14333,0.06972,-1353.87550394,-0.7849111000000448,-0.0612995175,0.0044387265,-1352.768876,0.3217168399999082,-1352.84233,0.2482628400000521,0.299943,77.941,154.599,8.9919,0.4984999999999999,255.9,20.6746,3230.0185,CC(C)C(Cc1cccc1)N1C=CN(C)C1.I.I
ABAZOW,Cu,0,322.11064,43,170,-0.0343,-0.19091,0.15661,0.0620199999999999,-2447.97605738,-1.1651945899998282,-0.0455994272,0.0057760864999999,-2446.436731,0.3741317900003196,-2446.51674,0.294122790000074,0.349967,87.558,168.392,7.3279,0.3415999999999997,249.18,4.5165,3134.8797,C#NC(C)(C)C.CC(C)(C)N=Cc1ccccc1O
ABEBAO,Cu,0,308.09499,40,162,-0.03683,-0.19264,0.15581,0.06177,-2408.69718197,-1.1164164599999822,-0.0412175589,0.0052106468999999,-2407.234844,0.3459215100001529,-2407.312085,0.2686805100001947,0.323011,81.518,162.566,7.3024,0.3296999999999999,238.2,9.5325,3135.5533,C#NC(C)(C)C.CC(C)N=Cc1ccccc1O
ABEBES,Cu,0,278.04804,32,144,-0.0575,-0.20701,0.14951,0.08268,-2328.96925102,-1.012998979999793,-0.0348077319,0.0042391074999999,-2327.689874,0.2663780399998359,-2327.758996,0.1972560399999565,0.247173,65.992,145.481,6.7855,0.5302999999999995,200.1,6.0421,3179.2926,Cc1cc(C)nc(C)c1.O=Cc1ccc[nH]1
ABEFOF,Ag,0,510.97896,46,258,-0.05164,-0.23315,0.18151,0.08512,-2104.21140462,-1.7535848299999088,-0.0703381892,0.0064384994,-2102.0975,0.360319790000176,-2102.19042,0.2673997900001268,0.330939,104.159,195.569,3.3386,0.1854,294.12,10.6535,3152.3095,Cc1ccccn1.Cc1ccccn1.O=S1(=O)NS(=O)(=O)c2ccccc21
ABEFUI,Zr,0,528.08838,62,274,-0.04036,-0.19536,0.155,0.06322,-2122.21516628,-1.7014758300001631,-0.0905168509,0.0080960702,-2119.975773,0.5379174499998953,-2120.074909,0.4387814500000786,0.504801,120.741,208.649,5.9785,0.048,368.11,21.8974,3161.4804,C1CCOC1.C1CCOC1.Cl.Cl.c1ccc(NCCCNc2ccccc2)cc1
ABEGOD,Co,1,420.11897,55,222,-0.19714,-0.32953,0.1323899999999999,0.0922099999999999,-3120.94869767,-1.615484490000199,-0.0810514336,0.0080694449999999,-3118.845766,0.48744717999989,-3118.92792,0.4052931799997168,0.459075,108.163,172.907,4.5982,0.1885000000000003,273.87,48.375,3348.5954,CC(=NCCCNCCCN=C(C)C(C)(C)[SH](=O)=O)C(C)(C)S
ABEGOG,Zn,0,432.04122,44,222,-0.06066,-0.23611,0.17545,0.0899299999999999,-3069.06863303,-1.7053540699998848,-0.0574955173,0.0062594694,-3067.018214,0.3450649599999451,-3067.102172,0.2611069600002338,0.318601,97.56,176.704,4.0671,0.556,269.79,16.5717,3749.1898,O.O=C(O)Cc1cn2ccccc2n1.O=C(O)Cc1cn2ccccc2n1
ABEHAU,Pt,0,542.22673,62,270,0.01118,-0.21179,0.22297,0.06227,-1636.80612276,-1.2645362200000818,-0.0885264286,0.0080270803,-1634.981645,0.5599415399999543,-1635.078072,0.4635145400000056,0.525886,125.324,202.948,6.1711,0.2351999999999998,307.46,11.8428,3107.8484,C.C.C.C1CCCc2n[nH]nc2CC1.CP(C)C.CP(C)C
ABEJAS,Rh,0,822.05008,83,412,-0.05885,-0.19709,0.1382399999999999,0.0664599999999999,-2674.91091497,-2.1108809499996823,-0.1577809731,0.0111042358,-2672.104295,0.6957390200000191,-2672.227491,0.5725430200000119,0.651397,170.073,259.287,4.2565,0.2961999999999998,589.94,14.4754,3144.8222,Cc1cc(C)c(CP(c2ccccc2)c2ccccc2)c(C)c1CP(c1ccccc1)c1ccccc1.I.c1ccccc1
ABEKIF,Pt,0,434.13282,42,210,-0.01177,-0.20779,0.19602,0.07266,-1324.92488913,-0.8895535300000574,-0.0599970593,0.0050776158999999,-1323.664055,0.371280600000091,-1323.744411,0.2909246000001531,0.344296,94.564,169.122,8.1007,0.3738999999999999,221.3,33.4623,3107.2712,C.C.C.CP(C)C.CP(C)C.[N-]=[N+]=N
ABELOK,Au,0,587.07492,49,284,-0.09609,-0.22061,0.12452,0.06807,-1975.12756714,-1.4296794300000784,-0.0753581194,0.0070568869999999,-1973.296233,0.4016547100000025,-1973.387134,0.3107537099999717,0.373083,103.019,191.317,16.617,1.4090000000000007,372.28,18.8918,3158.2441,Cc1cc(C)c(n2c(c3ccccc3)csc2c2ccccc2)c(C)c1.Cl
ABENIH,Ag,0,681.06967,70,348,-0.05206,-0.23696,0.1849,0.08216,-2691.83928976,-2.4338167000000794,-0.1188199191,0.0095328620999999,-2688.840078,0.5653950599999007,-2688.959169,0.4463040599998749,0.52218,157.338,250.649,8.1408,0.9092000000000002,400.16,22.5976,3151.0603,Cc1cc(C)nc(C)c1.Cc1cc(C)nc(C)c1.O=S(=O)(NS(=O)(=O)c1ccc(F)cc1)c1ccc(F)cc1
ABENRE,Re,-1,577.66137,15,256,-0.04344,-0.11779,0.07435,0.06369,-10658.2290959,-1.858033800001067,-0.0236150615,0.0007360206,-10656.275222,0.0958400999988953,-10656.340492,0.0305700999997498,0.079154,47.046,137.373,0.7735,-0.2607,183.14,39.2491,3069.1041,Br.Br.Br.Br.CCO.N=O
ABEPAA,Ni,1,461.15523,64,246,-0.14954,-0.35069,0.20115,0.1086,-3544.44160376,-1.7403348099996947,-0.0920291856,0.0082010531,-3542.126647,0.5746219500001644,-3542.231313,0.4699559500004397,0.538164,129.597,220.288,4.935,0.5290999999999997,334.46,21.4942,3568.9709,CCP(CC)CC.CCP(CC)CC.CN1CNc2ccccc21.Cl
ABERIK,Ti,0,527.11413,64,276,-0.0998,-0.22883,0.12903,0.06587,-3365.07431908,-1.992025609999928,-0.0997328561,0.0083471982,-3362.536733,0.5455604700000549,-3362.647616,0.4346774699997695,0.506938,136.918,233.375,3.4501,0.4377,391.57,16.3416,3404.6999,CNC.Cc1cc(C)c(Nc2cccc(-c3c(C)cc(C)cc3C)n2)c(C)c1.Cl.Cl.Cl
ABETUZ,Pd,0,692.03173,70,352,-0.0568,-0.19167,0.13487,0.06196,-2746.56291464,-2.191402169999946,-0.1213579889,0.0093326319999999,-2743.807568,0.563944470000024,-2743.922026,0.4494864700000107,0.524913,148.361,240.897,0.726,0.2354,523.04,12.0277,3147.277,Sc1ccccc1.c1ccc(P(Oc2cccc(OP(c3ccccc3)c3ccccc3)c2)c2ccccc2)cc1
ABEVAH,Pd,0,556.09433,66,288,-0.03283,-0.19445,0.16162,0.06746,-2294.48493539,-1.746494359999815,-0.1033354337,0.0083367819999999,-2292.165141,0.573300030000155,-2292.270438,0.4680030300000908,0.536086,136.706,221.616,1.0689,0.3306,386.27,19.7845,3145.7168,CC(C)P(Oc1cccc(OP(C(C)C)C(C)C)c1)C(C)C.Sc1ccccc1
ABEVEL,Pd,0,612.15693,78,320,-0.03756,-0.18621,0.1486499999999999,0.0642799999999999,-2451.5963456,-1.936259919999884,-0.125928667,0.0104165687,-2448.973602,0.6864836800000376,-2449.090177,0.5699086800000259,0.64368,161.152,245.352,1.5274,0.1901000000000001,438.66,5.4738,3145.4299,CC(C)(C)P(Oc1cccc(OP(C(C)(C)C)C(C)(C)C)c1)C(C)(C)C.Sc1ccccc1
ABEWOT,Ru,1,675.16438,84,350,-0.14267,-0.31516,0.17249,0.07217,-2634.66899612,-2.0880204300001424,-0.1510431545,0.0112941183999999,-2631.850809,0.7301666899998054,-2631.968769,0.6122066899997662,0.685604,170.214,248.268,4.2207,0.4066999999999998,478.87,20.6986,3144.5857,CC1=C(C)C2C3C(C)=C(C)C(C1P2c1ccccc1)P3c1ccccc1.Cc1c(C)c(C)c(C)c(C)c1C.Cl
ABEWUZ,Ru,1,675.16438,84,350,-0.14857,-0.31693,0.1683599999999999,0.0740899999999999,-2634.66371121,-2.0891253800000413,-0.1510230782,0.0114197662,-2631.844368,0.7302178300001287,-2631.961106,0.6134798299999602,0.686045,170.215,245.696,4.3982,0.3954000000000004,480.75,17.0033,3146.7397,CC1=CP(c2ccccc2)C2C3C(C)=C(C)C(P3c3ccccc3)C12C.Cc1c(C)c(C)c(C)c(C)c1C.Cl
ABEXAG,Ru,0,522.05775,59,268,-0.04709,-0.20792,0.16083,0.07645,-2288.91657485,-1.5990679799997451,-0.0965315793,0.0077930583,-2286.810749,0.5067578700000013,-2286.906557,0.4109498700004224,0.473179,124.574,201.644,6.8948,0.8070000000000004,352.72,21.6141,3183.5447,C=C1CP(c2ccccc2)C=C1C.Cc1c(C)c(C)c(C)c(C)c1C.Cl.Cl
ABEXOU,Cr,0,371.08248,45,194,-0.04373,-0.22434,0.18061,0.06769,-2134.89255471,-1.3458195599996543,-0.060267604,0.0061169479999999,-2133.171607,0.3751281499999095,-2133.255894,0.290841150000233,0.347604,98.491,177.398,8.5553,0.6772000000000009,233.34,20.9678,3664.8835,C#O.C#O.C#O.CCN(CC)C(=O)c1c(C)cccc1C(C)O
ABEXUA,Zr,0,500.06425,59,260,-0.07226,-0.25647,0.1842099999999999,0.0692399999999999,-2188.9985313,-1.620514230000026,-0.0861609289,0.0072918592999999,-2186.86829,0.509727070000281,-2186.962523,0.4154940700000225,0.477845,120.065,198.331,3.5786,0.4584999999999999,311.48,10.411,3202.7729,CC12CCC(C1)C(C)(C)C2O[Si](C)(C)c1cccc1.Cl.Cl.c1cccc1
ABEYUF,Ni,0,415.96928,29,204,-0.08799,-0.26632,0.17833,0.08101,-3123.22646432,-2.050709390000065,-0.0304158846,0.0033647140999999,-3121.000061,0.1756939299998521,-3121.088301,0.0874539300002652,0.147836,91.547,185.715,10.8317,1.066599999999999,147.16,22.6962,3087.3151,CC#N.CC#N.FC(F)F.FC(F)F.FC(F)F.FC(F)F
ABEZAJ,Ti,0,504.24992,74,270,-0.05387,-0.21557,0.1617,0.06732,-2581.09768107,-1.77646784999979,-0.1129974421,0.0105878357,-2578.662075,0.6591382199999316,-2578.766255,0.5549582200001169,0.621701,141.695,219.266,2.7541,0.1437000000000003,393.39,23.5923,3149.0832,CNC.Cc1cc(C)c(Nc2ccccc2C(C)(NC2CCCCC2)N(C)C)c(C)c1.Cl
ABGTCU,Cu,1,264.00926,25,134,-0.25697,-0.35061,0.09364,0.06401,-2618.15646548,-1.0311886599997706,-0.0278233301,0.0033942213999999,-2616.922701,0.2025758200002201,-2616.984665,0.1406118200002311,0.185409,59.164,130.415,13.9041,0.4557000000000002,173.1,26.5695,3633.8743,N=C(N)NC(N)=NCCN.[N-]=C=S
ABICAP,Rh,0,572.17083,73,298,-0.02892,-0.19445,0.16553,0.0653,-1768.40126482,-1.653802750000068,-0.1109008204,0.009971728,-1766.110642,0.6368200699998852,-1766.218531,0.5289310699999987,0.598652,144.434,227.073,4.0181,-0.0265000000000004,418.25,16.0526,3186.3092,C#O.CC(C)P(C(C)C)C(C)C.c1ccc(C(c2ccccc2)c2ccc3ccccc23)cc1
ABICAQ,Rh,0,573.0855,64,292,-0.02693,-0.19358,0.16665,0.0827199999999999,-3895.59402523,-1.771819090000008,-0.0946174833,0.0086524352,-3893.266818,0.5553881400001046,-3893.366618,0.4555881400001453,0.521507,125.934,210.047,5.4437,0.3514999999999997,352.82,20.8197,3240.0921,Br.C1=CCCC=CCC1.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1
ABICEU,Rh,0,557.0542,59,282,-0.02601,-0.19239,0.16638,0.0823899999999999,-3855.0819124,-1.718185679999806,-0.0850419264,0.0079731967,-3852.861088,0.5026387200000499,-3852.958002,0.4057247200003075,0.470933,117.82,203.974,5.6046,0.3948999999999998,338.12,9.705,3240.0962,Br.C1=CC2C=CC1C2.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1
ABICIX,Os,0,711.22266,83,360,-0.10076,-0.21819,0.1174299999999999,0.0775,-3153.43263734,-2.049654879999707,-0.1351690299,0.0107869109,-3150.626662,0.7563204600000972,-3150.747142,0.635840460000054,0.710408,167.581,253.572,6.362,0.7378999999999998,428.47,19.0865,3114.5573,CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Cl.Cl.Cl.N=C1CCCCC1
ABICIY,Rh,1,494.16716,63,256,-0.1797,-0.32263,0.1429299999999999,0.0801299999999999,-1321.51061985,-1.3707609600000978,-0.0868848139,0.0089198238,-1319.586077,0.553781889999982,-1319.679156,0.4607028899999932,0.52224,120.162,195.903,3.8427,-0.1820000000000003,333.24,13.6445,3235.4291,C1=CCCC=CCC1.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1
ABICUK,Rh,0,492.98651,46,246,-0.05942,-0.20767,0.14825,0.0741599999999999,-3697.06814342,-1.5245619900001657,-0.0634642966,0.006068687,-3695.162167,0.3814144299999498,-3695.249961,0.293620429999919,0.353676,98.526,184.777,9.7069,0.865499999999999,287.48,16.658,3236.0763,Br.C#O.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1
ABIDEU,Zn,0,674.09203,69,348,-0.02242,-0.21909,0.19667,0.06755,-4932.50528954,-2.677124300000287,-0.1195667553,0.009253652,-4929.275976,0.5521892400001889,-4929.393503,0.4346622399998523,0.510473,151.889,247.355,5.8131,0.2221999999999999,428.73,17.0755,3219.9675,Cn1ccn([BH](n2cccn2)n2ccn(C)c2S)c1S.Cn1ccn([BH](n2cccn2)n2ccn(C)c2S)c1S
